Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,21
design__inferred_latch__count,0
design__instance__count,3472
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0002293815923621878
power__switching__total,0.00008936632366385311
power__leakage__total,1.6976704486637573E-8
power__total,0.0003187648835591972
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26561859019657497
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2656516470880681
timing__hold__ws__corner:nom_tt_025C_1v80,0.3332237913251389
timing__setup__ws__corner:nom_tt_025C_1v80,7.580835729287207
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.333224
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,17.298532
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,161
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27490940857418605
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2749409944201299
timing__hold__ws__corner:nom_ss_100C_1v60,0.9172916574841968
timing__setup__ws__corner:nom_ss_100C_1v60,-0.7135519044266703
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-3.536946835525672
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.7135519044266703
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.917292
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,6
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,11.231916
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2623336344628336
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2623673574881603
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10608220158120188
timing__setup__ws__corner:nom_ff_n40C_1v95,10.735681980602404
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.106082
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.218790
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,161
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26069150354066783
clock__skew__worst_setup,0.2607197309618673
timing__hold__ws,0.10471473984309662
timing__setup__ws,-0.8891216903279254
timing__hold__tns,0.0
timing__setup__tns,-4.587907072997943
timing__hold__wns,0
timing__setup__wns,-0.8891216903279254
timing__hold_vio__count,0
timing__hold_r2r__ws,0.104715
timing__hold_r2r_vio__count,0
timing__setup_vio__count,18
timing__setup_r2r__ws,11.192266
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1028
design__instance__area__stdcell,8142.81
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.493704
design__instance__utilization__stdcell,0.493704
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,24
design__instance__area__class:inverter,90.0864
design__instance__count__class:sequential_cell,48
design__instance__area__class:sequential_cell,1020.98
design__instance__count__class:multi_input_combinational_cell,646
design__instance__area__class:multi_input_combinational_cell,5879.39
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,2444
design__instance__area__class:fill_cell,8350.51
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,188.156
design__instance__displacement__mean,0.17
design__instance__displacement__max,8.74
route__wirelength__estimated,17482.3
design__violations,0
design__instance__count__class:timing_repair_buffer,74
design__instance__area__class:timing_repair_buffer,635.61
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,9
design__instance__area__class:clock_buffer,225.216
design__instance__count__setup_buffer,1
design__instance__count__hold_buffer,22
global_route__vias,5655
global_route__wirelength,31643
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,822
route__net__special,2
route__drc_errors__iter:0,319
route__wirelength__iter:0,19495
route__drc_errors__iter:1,105
route__wirelength__iter:1,19246
route__drc_errors__iter:2,109
route__wirelength__iter:2,19210
route__drc_errors__iter:3,13
route__wirelength__iter:3,19178
route__drc_errors__iter:4,0
route__wirelength__iter:4,19159
route__drc_errors,0
route__wirelength,19159
route__vias,5812
route__vias__singlecut,5812
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,17
design__critical_disconnected_pin__count,0
route__wirelength__max,190.42
timing__unannotated_net__count__corner:nom_tt_025C_1v80,33
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,33
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,33
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
