Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3
design__inferred_latch__count,0
design__instance__count,2132
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0007290596258826554
power__switching__total,0.00021966009808238596
power__leakage__total,1.957699069521368E-8
power__total,0.0009487392962910235
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.3566113338897031
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.359681544728833
timing__hold__ws__corner:nom_tt_025C_1v80,0.3605736922210778
timing__setup__ws__corner:nom_tt_025C_1v80,8.60107565071006
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.360574
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.601076
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,130
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.4693872090535582
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.47592220400592905
timing__hold__ws__corner:nom_ss_100C_1v60,0.8996217359025819
timing__setup__ws__corner:nom_ss_100C_1v60,7.210090062404528
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.899622
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.210090
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.31547762517515154
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.31752715244772545
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12100931710290846
timing__setup__ws__corner:nom_ff_n40C_1v95,9.058918316337854
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.121009
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,9.058918
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,192
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.31301981337372475
clock__skew__worst_setup,0.31601808175882423
timing__hold__ws,0.11840534443615601
timing__setup__ws,7.19132818093616
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.118405
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,7.191328
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1349
design__instance__area__stdcell,14206.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.861326
design__instance__utilization__stdcell,0.861326
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,3
design__instance__area__class:buffer,15.0144
design__instance__count__class:inverter,20
design__instance__area__class:inverter,75.072
design__instance__count__class:sequential_cell,186
design__instance__area__class:sequential_cell,4875.93
design__instance__count__class:multi_input_combinational_cell,666
design__instance__area__class:multi_input_combinational_cell,6294.79
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,783
design__instance__area__class:fill_cell,2287.19
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,9718.94
design__instance__displacement__mean,6.853
design__instance__displacement__max,144.96
route__wirelength__estimated,37562.8
design__violations,0
design__instance__count__class:timing_repair_buffer,182
design__instance__area__class:timing_repair_buffer,1772.95
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,58
design__instance__area__class:clock_buffer,868.333
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,130
global_route__vias,52
global_route__wirelength,68365
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
design__instance__count__class:antenna_cell,9
design__instance__area__class:antenna_cell,22.5216
route__net,1111
route__net__special,2
route__drc_errors__iter:0,81
route__wirelength__iter:0,44697
route__drc_errors__iter:1,21
route__wirelength__iter:1,44654
route__drc_errors__iter:2,10
route__wirelength__iter:2,44655
route__drc_errors__iter:3,0
route__wirelength__iter:3,44633
route__drc_errors__iter:4,35
route__wirelength__iter:4,44646
route__drc_errors__iter:5,20
route__wirelength__iter:5,44647
route__drc_errors__iter:6,20
route__wirelength__iter:6,44647
route__drc_errors__iter:7,1
route__wirelength__iter:7,44625
route__drc_errors__iter:8,1
route__wirelength__iter:8,44625
route__drc_errors__iter:9,1
route__wirelength__iter:9,44625
route__drc_errors__iter:10,1
route__wirelength__iter:10,44625
route__drc_errors__iter:11,1
route__wirelength__iter:11,44625
route__drc_errors__iter:15,1
route__wirelength__iter:15,44625
route__drc_errors__iter:16,0
route__wirelength__iter:16,44628
route__drc_errors,0
route__wirelength,44633
route__vias,9664
