Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2253
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,11
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00046514542191289365
power__switching__total,0.00014359176566358656
power__leakage__total,1.7699026244599736E-8
power__total,0.0006087548681534827
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26370148477900845
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2657517892077215
timing__hold__ws__corner:nom_tt_025C_1v80,0.32170894636612335
timing__setup__ws__corner:nom_tt_025C_1v80,11.662602769184959
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.321709
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,11.662602
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,121
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2704227751601802
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2733842396509725
timing__hold__ws__corner:nom_ss_100C_1v60,0.8953503747391393
timing__setup__ws__corner:nom_ss_100C_1v60,2.9780037057025166
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.895350
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,2.978004
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2607753531369741
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26256142447835334
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11154999462096929
timing__setup__ws__corner:nom_ff_n40C_1v95,14.693683130571447
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111550
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,14.693683
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,159
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.259033496428801
clock__skew__worst_setup,0.26033745340810166
timing__hold__ws,0.10963691376198083
timing__setup__ws,2.860177953212758
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109637
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,2.860178
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1432
design__instance__area__stdcell,14276.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.865574
design__instance__utilization__stdcell,0.865574
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,1
design__instance__area__class:buffer,5.0048
design__instance__count__class:inverter,44
design__instance__area__class:inverter,165.158
design__instance__count__class:sequential_cell,142
design__instance__area__class:sequential_cell,3731.08
design__instance__count__class:multi_input_combinational_cell,841
design__instance__area__class:multi_input_combinational_cell,8341.75
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,821
design__instance__area__class:fill_cell,2217.13
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,4435.43
design__instance__displacement__mean,2.941
design__instance__displacement__max,70.72
route__wirelength__estimated,30486.3
design__violations,0
design__instance__count__class:timing_repair_buffer,146
design__instance__area__class:timing_repair_buffer,1396.34
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,31
design__instance__area__class:clock_buffer,350.336
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,83
global_route__vias,2955
global_route__wirelength,52647
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
design__instance__count__class:antenna_cell,2
design__instance__area__class:antenna_cell,5.0048
route__net,1210
route__net__special,2
route__drc_errors__iter:0,809
route__wirelength__iter:0,34614
route__drc_errors__iter:1,418
route__wirelength__iter:1,34195
route__drc_errors__iter:2,257
route__wirelength__iter:2,34146
route__drc_errors__iter:3,33
route__wirelength__iter:3,34049
route__drc_errors__iter:4,2
route__wirelength__iter:4,34053
route__drc_errors__iter:5,1
route__wirelength__iter:5,34055
route__drc_errors__iter:6,1
route__wirelength__iter:6,34055
route__drc_errors__iter:7,0
route__wirelength__iter:7,34054
route__drc_errors,0
route__wirelength,34054
route__vias,9068
route__vias__singlecut,9068
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,6
design__critical_disconnected_pin__count,0
route__wirelength__max,325.435
timing__unannotated_net__count__corner:nom_tt_025C_1v80,31
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,31
