Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,459
design__inferred_latch__count,0
design__instance__count,2162
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,11
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,19
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008154055685736239
power__switching__total,0.00027903192676603794
power__leakage__total,1.935381455098195E-8
power__total,0.0010944567620754242
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2657209805179168
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26659206152767356
timing__hold__ws__corner:nom_tt_025C_1v80,0.3343178051245454
timing__setup__ws__corner:nom_tt_025C_1v80,11.536119053215101
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.334318
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,77
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,19
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27442657256712105
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.27526423586289145
timing__hold__ws__corner:nom_ss_100C_1v60,0.9037605364331354
timing__setup__ws__corner:nom_ss_100C_1v60,7.238282178510767
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.903761
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,11.560257
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,19
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2615262802564926
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2624116553880957
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1159392614729618
timing__setup__ws__corner:nom_ff_n40C_1v95,13.069927732250614
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.115939
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,132
design__max_fanout_violation__count,19
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2609298406752199
clock__skew__worst_setup,0.2614991075471964
timing__hold__ws,0.11349943528504255
timing__setup__ws,7.005376921282632
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.113499
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,11.489469
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1405
design__instance__area__stdcell,14378.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.871795
design__instance__utilization__stdcell,0.871795
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:inverter,26
design__instance__area__class:inverter,97.5936
design__instance__count__class:sequential_cell,232
design__instance__area__class:sequential_cell,4934.73
design__instance__count__class:multi_input_combinational_cell,620
design__instance__area__class:multi_input_combinational_cell,5925.68
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,757
design__instance__area__class:fill_cell,2114.53
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,4907.98
design__instance__displacement__mean,3.313
design__instance__displacement__max,81.91
route__wirelength__estimated,27057.3
design__violations,0
design__instance__count__class:timing_repair_buffer,260
design__instance__area__class:timing_repair_buffer,2587.48
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,37
design__instance__area__class:clock_buffer,528.006
design__instance__count__class:clock_inverter,3
design__instance__area__class:clock_inverter,18.768
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,205
global_route__vias,3885
global_route__wirelength,47920
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
design__instance__count__class:antenna_cell,2
design__instance__area__class:antenna_cell,5.0048
route__net,1182
route__net__special,2
route__drc_errors__iter:0,575
route__wirelength__iter:0,31761
route__drc_errors__iter:1,217
route__wirelength__iter:1,31348
route__drc_errors__iter:2,245
route__wirelength__iter:2,31287
route__drc_errors__iter:3,5
route__wirelength__iter:3,31174
route__drc_errors__iter:4,0
route__wirelength__iter:4,31174
route__drc_errors,0
route__wirelength,31174
route__vias,8433
route__vias__singlecut,8433
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,252.64
timing__unannotated_net__count__corner:nom_tt_025C_1v80,33
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,33
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,33
