Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,58050
design__instance__area,341355
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,1371
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,91
design__max_cap_violation__count__corner:nom_tt_025C_1v80,1
power__internal__total,0.0007127432036213577
power__switching__total,0.00037477718433365226
power__leakage__total,3.3839245361377834E-7
power__total,0.0010878588072955608
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.46718519264423936
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.8732447234706372
timing__hold__ws__corner:nom_tt_025C_1v80,0.1940181403786016
timing__setup__ws__corner:nom_tt_025C_1v80,25.893421473201602
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.194018
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,25.893421
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,6013
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,91
design__max_cap_violation__count__corner:nom_ss_100C_1v60,34
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.8391891863386165
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.3391892418497693
timing__hold__ws__corner:nom_ss_100C_1v60,0.6636955617390046
timing__setup__ws__corner:nom_ss_100C_1v60,5.234294923427361
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.663696
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,5.234295
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,198
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,91
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.40101831324033144
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.6780187714293866
timing__hold__ws__corner:nom_ff_n40C_1v95,0.026733727099845356
timing__setup__ws__corner:nom_ff_n40C_1v95,31.07758405248957
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.026734
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,33.446354
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,6615
design__max_fanout_violation__count,91
design__max_cap_violation__count,55
clock__skew__worst_hold,0.8639923465663409
clock__skew__worst_setup,0.669609608936141
timing__hold__ws,0.026115332857639763
timing__setup__ws,4.722110836010174
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.026115
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,4.722111
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 682.64 511.36
design__core__bbox,2.76 2.72 679.88 508.64
design__io,45
design__die__area,349075
design__core__area,342569
design__instance__count__stdcell,23047
design__instance__area__stdcell,212076
design__instance__count__macros,1
design__instance__area__macros,16272.3
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.666577
design__instance__utilization__stdcell,0.649949
design__rows,229
design__rows:unithd,229
design__sites,259817
design__sites:unithd,259817
design__instance__count__class:macro,1
design__instance__area__class:macro,16272.3
design__instance__count__class:buffer,20
design__instance__area__class:buffer,100.096
design__instance__count__class:inverter,245
design__instance__area__class:inverter,919.632
design__instance__count__class:clock_gate_cell,100
design__instance__area__class:clock_gate_cell,1751.68
design__instance__count__class:sequential_cell,3120
design__instance__area__class:sequential_cell,66363.6
design__instance__count__class:multi_input_combinational_cell,12029
design__instance__area__class:multi_input_combinational_cell,113853
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,3
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,35002
design__instance__area__class:fill_cell,113007
design__instance__count__class:tap_cell,4650
design__instance__area__class:tap_cell,5818.08
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,296.824
design__instance__displacement__mean,0.012
design__instance__displacement__max,13.128
route__wirelength__estimated,532308
design__violations,0
design__instance__count__class:timing_repair_buffer,2126
design__instance__area__class:timing_repair_buffer,10013.4
flow__warnings__count:RSZ-0020,1
design__instance__count__class:clock_buffer,638
design__instance__area__class:clock_buffer,12577.1
design__instance__count__class:clock_inverter,45
design__instance__area__class:clock_inverter,494.224
flow__warnings__count:STA-1140,12
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,57
global_route__vias,42
global_route__wirelength,908502
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0273,2
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,19
design__instance__count__class:antenna_cell,74
design__instance__area__class:antenna_cell,185.178
route__net,18226
route__net__special,2
route__drc_errors__iter:0,20
route__wirelength__iter:0,617855
route__drc_errors__iter:1,0
route__wirelength__iter:1,617852
route__drc_errors__iter:2,66
route__wirelength__iter:2,617872
route__drc_errors__iter:3,0
route__wirelength__iter:3,617861
route__drc_errors__iter:4,61
route__wirelength__iter:4,618214
route__drc_errors__iter:5,12
route__wirelength__iter:5,618213
route__drc_errors__iter:6,11
route__wirelength__iter:6,618207
route__drc_errors__iter:7,7
route__wirelength__iter:7,618210
route__drc_errors__iter:8,7
route__wirelength__iter:8,618210
route__drc_errors__iter:9,0
route__wirelength__iter:9,618208
