Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,18
design__inferred_latch__count,0
design__instance__count,20680
design__instance__area,110874
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,134
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,76
design__max_cap_violation__count__corner:nom_tt_025C_1v80,1
power__internal__total,0.0029078295920044184
power__switching__total,0.0011226588394492865
power__leakage__total,1.1851222581071852E-7
power__total,0.004030607175081968
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.30987305265488196
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.30998712807388845
timing__hold__ws__corner:nom_tt_025C_1v80,0.3164889551124606
timing__setup__ws__corner:nom_tt_025C_1v80,4.9600058797413045
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.316489
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.134250
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,2172
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,76
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3567336249593242
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3568449803318435
timing__hold__ws__corner:nom_ss_100C_1v60,0.8859757622763748
timing__setup__ws__corner:nom_ss_100C_1v60,-5.060540574267317
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-423.16075397024093
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-5.060540574267317
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.885976
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,318
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-2.770996
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,310
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,76
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,1
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.28857586581577693
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2886912179912979
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10706030809355939
timing__setup__ws__corner:nom_ff_n40C_1v95,8.975219044233397
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.107060
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,12.551167
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,2355
design__max_fanout_violation__count,76
design__max_cap_violation__count,2
clock__skew__worst_hold,-0.2868152740935334
clock__skew__worst_setup,0.28690287069265374
timing__hold__ws,0.10548190397480948
timing__setup__ws,-5.432763725992953
timing__hold__tns,0.0
timing__setup__tns,-551.5060066953112
timing__hold__wns,0
timing__setup__wns,-5.432763725992953
timing__hold_vio__count,0
timing__hold_r2r__ws,0.105482
timing__hold_r2r_vio__count,0
timing__setup_vio__count,978
timing__setup_r2r__ws,-3.263816
timing__setup_r2r_vio__count,954
design__die__bbox,0.0 0.0 508.76 225.76
design__core__bbox,2.76 2.72 506.0 223.04
design__io,45
design__die__area,114858
design__core__area,110874
design__instance__count__stdcell,6443
design__instance__area__stdcell,62464.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.563387
design__instance__utilization__stdcell,0.563387
design__rows,81
design__rows:unithd,81
design__sites,88614
design__sites:unithd,88614
design__instance__count__class:buffer,1
design__instance__area__class:buffer,5.0048
design__instance__count__class:inverter,44
design__instance__area__class:inverter,165.158
design__instance__count__class:sequential_cell,888
design__instance__area__class:sequential_cell,20769.9
design__instance__count__class:multi_input_combinational_cell,2372
design__instance__area__class:multi_input_combinational_cell,24104.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,14237
design__instance__area__class:fill_cell,48408.9
design__instance__count__class:tap_cell,1577
design__instance__area__class:tap_cell,1973.14
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,7007.55
design__instance__displacement__mean,1.065
design__instance__displacement__max,25.76
route__wirelength__estimated,134213
design__violations,0
design__instance__count__class:timing_repair_buffer,1384
design__instance__area__class:timing_repair_buffer,13535.5
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,142
design__instance__area__class:clock_buffer,1784.21
design__instance__count__class:clock_inverter,5
design__instance__area__class:clock_inverter,52.5504
design__instance__count__setup_buffer,46
design__instance__count__hold_buffer,831
flow__warnings__count:RSZ-0062,1
global_route__vias,153
global_route__wirelength,235221
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,8
design__instance__count__class:antenna_cell,30
design__instance__area__class:antenna_cell,75.072
route__net,4801
route__net__special,2
route__drc_errors__iter:0,163
route__wirelength__iter:0,159085
route__drc_errors__iter:1,21
route__wirelength__iter:1,159019
route__drc_errors__iter:2,15
route__wirelength__iter:2,159014
route__drc_errors__iter:3,0
route__wirelength__iter:3,159011
route__drc_errors__iter:4,0
route__wirelength__iter:4,158962
route__drc_errors,0
route__wirelength,159011
route__vias,35835
route__vias__singlecut,35835
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,942.19
timing__unannotated_net__count__corner:nom_tt_025C_1v80,79
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,79
