Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,28
design__inferred_latch__count,0
design__instance__count,2389
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,15
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0006665323744527996
power__switching__total,0.00019714423979166895
power__leakage__total,1.8767039478007064E-8
power__total,0.0008636953425593674
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2681336617521163
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26824035418780023
timing__hold__ws__corner:nom_tt_025C_1v80,0.3284473341823579
timing__setup__ws__corner:nom_tt_025C_1v80,8.945381577558129
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.328447
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,10.184288
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,225
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,15
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2770511398715627
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.27715205914735536
timing__hold__ws__corner:nom_ss_100C_1v60,0.9461373063923646
timing__setup__ws__corner:nom_ss_100C_1v60,-0.374218000512701
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-3.6680135522708004
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.374218000512701
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.946137
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,10
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-0.374218
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,10
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,15
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26382563547224835
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2639350201988432
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11104900646693829
timing__setup__ws__corner:nom_ff_n40C_1v95,11.4004355849138
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111049
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,269
design__max_fanout_violation__count,15
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2623948355087969
clock__skew__worst_setup,0.2624598113131507
timing__hold__ws,0.10966172724728297
timing__setup__ws,-0.650416627855119
timing__hold__tns,0.0
timing__setup__tns,-6.41272475494324
timing__hold__wns,0
timing__setup__wns,-0.650416627855119
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109662
timing__hold_r2r_vio__count,0
timing__setup_vio__count,30
timing__setup_r2r__ws,-0.650417
timing__setup_r2r_vio__count,30
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1374
design__instance__area__stdcell,13560.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.822182
design__instance__utilization__stdcell,0.822182
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,8
design__instance__area__class:inverter,30.0288
design__instance__count__class:sequential_cell,203
design__instance__area__class:sequential_cell,4317.89
design__instance__count__class:multi_input_combinational_cell,735
design__instance__area__class:multi_input_combinational_cell,6795.27
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1015
design__instance__area__class:fill_cell,2932.81
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1191.45
design__instance__displacement__mean,0.82
design__instance__displacement__max,32.58
route__wirelength__estimated,23191.5
design__violations,0
design__instance__count__class:timing_repair_buffer,166
design__instance__area__class:timing_repair_buffer,1631.56
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,33
design__instance__area__class:clock_buffer,456.688
design__instance__count__class:clock_inverter,2
design__instance__area__class:clock_inverter,37.536
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,64
global_route__vias,8536
global_route__wirelength,45132
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1154
route__net__special,2
route__drc_errors__iter:0,499
route__wirelength__iter:0,27255
route__drc_errors__iter:1,216
route__wirelength__iter:1,26882
route__drc_errors__iter:2,175
route__wirelength__iter:2,26784
route__drc_errors__iter:3,2
route__wirelength__iter:3,26707
route__drc_errors__iter:4,0
route__wirelength__iter:4,26705
route__drc_errors,0
route__wirelength,26705
route__vias,8317
route__vias__singlecut,8317
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,263.52
timing__unannotated_net__count__corner:nom_tt_025C_1v80,49
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,49
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,49
