Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,3594
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00027215012232773006
power__switching__total,0.00009317843068856746
power__leakage__total,1.759647716426116E-8
power__total,0.00036534617538563907
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25590216781043695
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25720162838636074
timing__hold__ws__corner:nom_tt_025C_1v80,0.3259133610792878
timing__setup__ws__corner:nom_tt_025C_1v80,11.628169867236196
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.325913
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,31
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25944611082757246
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2613520307478496
timing__hold__ws__corner:nom_ss_100C_1v60,0.9397671795638134
timing__setup__ws__corner:nom_ss_100C_1v60,7.4538501924960245
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.939767
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25509170497953915
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2559430240188987
timing__hold__ws__corner:nom_ff_n40C_1v95,0.108025258462703
timing__setup__ws__corner:nom_ff_n40C_1v95,13.165906071354701
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.108025
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,53
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25453770367458295
clock__skew__worst_setup,0.2553992922772107
timing__hold__ws,0.10614748269689611
timing__setup__ws,7.362019646729244
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.106147
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,833
design__instance__area__stdcell,6875.34
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.416856
design__instance__utilization__stdcell,0.416856
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,7
design__instance__area__class:inverter,26.2752
design__instance__count__class:sequential_cell,62
design__instance__area__class:sequential_cell,1318.76
design__instance__count__class:multi_input_combinational_cell,468
design__instance__area__class:multi_input_combinational_cell,4428
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,2761
design__instance__area__class:fill_cell,9617.97
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,132.657
design__instance__displacement__mean,0.145
design__instance__displacement__max,5.794
route__wirelength__estimated,11642.7
design__violations,0
design__instance__count__class:timing_repair_buffer,57
design__instance__area__class:timing_repair_buffer,568.045
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,11
design__instance__area__class:clock_buffer,240.23
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,20
global_route__vias,5
global_route__wirelength,20189
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
route__net,624
route__net__special,2
route__drc_errors__iter:0,0
route__wirelength__iter:0,12431
route__drc_errors__iter:1,33
route__wirelength__iter:1,12449
route__drc_errors__iter:2,29
route__wirelength__iter:2,12418
route__drc_errors__iter:3,0
route__wirelength__iter:3,12425
route__drc_errors,0
route__wirelength,12431
route__vias,4079
route__vias__singlecut,4079
route__vias__multicut,0
design__instance__count__class:antenna_cell,1
design__instance__area__class:antenna_cell,2.5024
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,2
design__critical_disconnected_pin__count,0
route__wirelength__max,191.205
timing__unannotated_net__count__corner:nom_tt_025C_1v80,18
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,18
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,18
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
