Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,541
design__inferred_latch__count,0
design__instance__count,53860
design__instance__area,302420
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,606
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,213
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.008512529544532299
power__switching__total,0.0027775547932833433
power__leakage__total,3.288992047600914E-7
power__total,0.011290413327515125
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.34204881561959494
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.5418222690538979
timing__hold__ws__corner:nom_tt_025C_1v80,0.31566872231866977
timing__setup__ws__corner:nom_tt_025C_1v80,3.1566554708072956
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.315669
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,4.287416
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,4534
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,213
design__max_cap_violation__count__corner:nom_ss_100C_1v60,16
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.40084689480048125
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.7122247437854987
timing__hold__ws__corner:nom_ss_100C_1v60,0.8659535555948081
timing__setup__ws__corner:nom_ss_100C_1v60,-0.8648193517207736
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-8.115114143697724
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.8648193517207736
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.865954
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,19
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-0.864819
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,19
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,91
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,213
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.31685485687614984
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.440945042959526
timing__hold__ws__corner:nom_ff_n40C_1v95,0.09611622880764598
timing__setup__ws__corner:nom_ff_n40C_1v95,4.0829909497947146
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.096116
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,6.241133
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,5324
design__max_fanout_violation__count,213
design__max_cap_violation__count,23
clock__skew__worst_hold,-0.3076372299535072
clock__skew__worst_setup,0.42562585216558446
timing__hold__ws,0.09611622880764598
timing__setup__ws,-1.4317560875473052
timing__hold__tns,0.0
timing__setup__tns,-21.17194479660103
timing__hold__wns,0
timing__setup__wns,-1.4317560875473052
timing__hold_vio__count,0
timing__hold_r2r__ws,0.096116
timing__hold_r2r_vio__count,0
timing__setup_vio__count,52
timing__setup_r2r__ws,-1.431756
timing__setup_r2r_vio__count,52
design__die__bbox,0.0 0.0 1378.16 225.76
design__core__bbox,2.76 2.72 1375.4 223.04
design__io,45
design__die__area,311133
design__core__area,302420
design__instance__count__stdcell,19820
design__instance__area__stdcell,188402
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.622981
design__instance__utilization__stdcell,0.622981
design__rows,81
design__rows:unithd,81
design__sites,241704
design__sites:unithd,241704
design__instance__count__class:buffer,41
design__instance__area__class:buffer,165.158
design__instance__count__class:inverter,192
design__instance__area__class:inverter,720.691
design__instance__count__class:sequential_cell,2881
design__instance__area__class:sequential_cell,61290
design__instance__count__class:multi_input_combinational_cell,7753
design__instance__area__class:multi_input_combinational_cell,76687.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,34040
design__instance__area__class:fill_cell,114018
design__instance__count__class:tap_cell,4399
design__instance__area__class:tap_cell,5504.03
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,19293.5
design__instance__displacement__mean,0.972
design__instance__displacement__max,27.14
route__wirelength__estimated,516329
design__violations,0
design__instance__count__class:timing_repair_buffer,3995
design__instance__area__class:timing_repair_buffer,38488.2
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,382
design__instance__area__class:clock_buffer,4874.68
design__instance__count__class:clock_inverter,39
design__instance__area__class:clock_inverter,326.563
flow__warnings__count:CTS-0041,4
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,2428
global_route__vias,40
global_route__wirelength,822997
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,33
design__instance__count__class:antenna_cell,138
design__instance__area__class:antenna_cell,345.331
route__net,15130
route__net__special,2
route__drc_errors__iter:0,101
route__wirelength__iter:0,591501
route__drc_errors__iter:1,14
route__wirelength__iter:1,591458
route__drc_errors__iter:2,14
route__wirelength__iter:2,591448
route__drc_errors__iter:3,1
route__wirelength__iter:3,591432
route__drc_errors__iter:4,1
route__wirelength__iter:4,591432
route__drc_errors__iter:5,0
route__wirelength__iter:5,591433
route__drc_errors,0
route__wirelength,591433
route__vias,114916
route__vias__singlecut,114916
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,844.16
timing__unannotated_net__count__corner:nom_tt_025C_1v80,175
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
