Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,10919
design__instance__area,72564.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,108
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,38
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0021802708506584167
power__switching__total,0.0007421115296892822
power__leakage__total,7.602919538385322E-8
power__total,0.0029224585741758347
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2878667108387413
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.287561010920265
timing__hold__ws__corner:nom_tt_025C_1v80,0.31731052017391864
timing__setup__ws__corner:nom_tt_025C_1v80,9.336767179230746
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.317311
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,9.863328
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1264
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,38
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.30391154342210047
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3036114501300571
timing__hold__ws__corner:nom_ss_100C_1v60,0.8873162455942186
timing__setup__ws__corner:nom_ss_100C_1v60,-1.3548842431481751
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-14.166163754126005
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-1.3548842431481751
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.887316
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,19
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-1.354884
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,19
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,38
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2798909794265676
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2803868605545409
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10919826463254559
timing__setup__ws__corner:nom_ff_n40C_1v95,12.491932286607634
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.109198
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,14.119869
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1486
design__max_fanout_violation__count,38
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.27528188840948226
clock__skew__worst_setup,0.2750933170234165
timing__hold__ws,0.10736450921091008
timing__setup__ws,-1.7361934603643152
timing__hold__tns,0.0
timing__setup__tns,-22.404382982989496
timing__hold__wns,0
timing__setup__wns,-1.7361934603643152
timing__hold_vio__count,0
timing__hold_r2r__ws,0.107365
timing__hold_r2r_vio__count,0
timing__setup_vio__count,58
timing__setup_r2r__ws,-1.736193
timing__setup_r2r_vio__count,58
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,5687
design__instance__area__stdcell,56170.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.774071
design__instance__utilization__stdcell,0.774071
design__rows,81
design__rows:unithd,81
design__sites,57996
design__sites:unithd,57996
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,92
design__instance__area__class:inverter,345.331
design__instance__count__class:sequential_cell,638
design__instance__area__class:sequential_cell,16763.6
design__instance__count__class:multi_input_combinational_cell,2990
design__instance__area__class:multi_input_combinational_cell,28371
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,5232
design__instance__area__class:fill_cell,16394.5
design__instance__count__class:tap_cell,1037
design__instance__area__class:tap_cell,1297.49
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,13049.7
design__instance__displacement__mean,2.237
design__instance__displacement__max,101.66
route__wirelength__estimated,132442
design__violations,0
design__instance__count__class:timing_repair_buffer,801
design__instance__area__class:timing_repair_buffer,7776.21
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,101
design__instance__area__class:clock_buffer,1378.82
design__instance__count__class:clock_inverter,10
design__instance__area__class:clock_inverter,187.68
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,417
global_route__vias,16293
global_route__wirelength,228272
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,16
design__instance__count__class:antenna_cell,16
design__instance__area__class:antenna_cell,40.0384
route__net,4611
route__net__special,2
route__drc_errors__iter:0,3404
route__wirelength__iter:0,153982
route__drc_errors__iter:1,1772
route__wirelength__iter:1,152231
route__drc_errors__iter:2,1667
route__wirelength__iter:2,152123
route__drc_errors__iter:3,241
route__wirelength__iter:3,151713
route__drc_errors__iter:4,7
route__wirelength__iter:4,151713
route__drc_errors__iter:5,0
route__wirelength__iter:5,151711
route__drc_errors,0
route__wirelength,151711
route__vias,36814
route__vias__singlecut,36814
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,6
design__critical_disconnected_pin__count,0
route__wirelength__max,515.575
timing__unannotated_net__count__corner:nom_tt_025C_1v80,58
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
