Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2108
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,11
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,12
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008257762528955936
power__switching__total,0.0003594190930016339
power__leakage__total,1.9552159002955705E-8
power__total,0.0011852148454636335
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2807707756873141
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.27597383492914945
timing__hold__ws__corner:nom_tt_025C_1v80,0.3220878654951445
timing__setup__ws__corner:nom_tt_025C_1v80,3.6548187732945614
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.322088
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,3.654819
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,457
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,12
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2969645446936389
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.29057876371999775
timing__hold__ws__corner:nom_ss_100C_1v60,0.8499395872124065
timing__setup__ws__corner:nom_ss_100C_1v60,-1.7367618945689998
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-17.976353359129735
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-1.7367618945689998
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.849940
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,18
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-1.736762
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,18
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,12
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.27473205044098614
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2693360888329435
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11403611711032476
timing__setup__ws__corner:nom_ff_n40C_1v95,5.7907680289954735
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.114036
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,5.790768
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,505
design__max_fanout_violation__count,12
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2712636303472367
clock__skew__worst_setup,0.26778680031383784
timing__hold__ws,0.11133727588343502
timing__setup__ws,-2.0734117232227245
timing__hold__tns,0.0
timing__setup__tns,-24.209458234463344
timing__hold__wns,0
timing__setup__wns,-2.0734117232227245
timing__hold_vio__count,0
timing__hold_r2r__ws,0.111337
timing__hold_r2r_vio__count,0
timing__setup_vio__count,50
timing__setup_r2r__ws,-2.073412
timing__setup_r2r_vio__count,50
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1383
design__instance__area__stdcell,14436.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.875284
design__instance__utilization__stdcell,0.875284
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,3
design__instance__area__class:buffer,15.0144
design__instance__count__class:inverter,19
design__instance__area__class:inverter,71.3184
design__instance__count__class:sequential_cell,222
design__instance__area__class:sequential_cell,4847.15
design__instance__count__class:multi_input_combinational_cell,616
design__instance__area__class:multi_input_combinational_cell,6118.37
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,725
design__instance__area__class:fill_cell,2056.97
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,6771.29
design__instance__displacement__mean,4.657
design__instance__displacement__max,93.84
route__wirelength__estimated,37752
design__violations,0
design__instance__count__class:timing_repair_buffer,254
design__instance__area__class:timing_repair_buffer,2527.42
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,30
design__instance__area__class:clock_buffer,437.92
design__instance__count__class:clock_inverter,7
design__instance__area__class:clock_inverter,120.115
flow__warnings__count:CTS-0041,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,52
global_route__vias,45
global_route__wirelength,69075
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,4
design__instance__count__class:antenna_cell,7
design__instance__area__class:antenna_cell,17.5168
route__net,1159
route__net__special,2
route__drc_errors__iter:0,321
route__wirelength__iter:0,45894
route__drc_errors__iter:1,142
route__wirelength__iter:1,45822
route__drc_errors__iter:2,63
route__wirelength__iter:2,45770
route__drc_errors__iter:3,5
route__wirelength__iter:3,45737
route__drc_errors__iter:4,0
route__wirelength__iter:4,45735
route__drc_errors__iter:5,3
route__wirelength__iter:5,45760
route__drc_errors__iter:6,0
route__wirelength__iter:6,45758
route__drc_errors,0
route__wirelength,45735
route__vias,10413
route__vias__singlecut,10413
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,293.825
timing__unannotated_net__count__corner:nom_tt_025C_1v80,40
