Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3
design__inferred_latch__count,0
design__instance__count,4705
design__instance__area,34255.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,109
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,30
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0002634901902638376
power__switching__total,0.00007771691889502108
power__leakage__total,3.774293233504977E-8
power__total,0.00034124485682696104
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26622979574449285
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2641854310091295
timing__hold__ws__corner:nom_tt_025C_1v80,0.322375357755502
timing__setup__ws__corner:nom_tt_025C_1v80,75.08819023538838
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.322375
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,90.435875
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,542
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,30
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27382305531386614
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.27000533129111504
timing__hold__ws__corner:nom_ss_100C_1v60,0.9106057277073594
timing__setup__ws__corner:nom_ss_100C_1v60,70.61992790433519
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.910606
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,81.113228
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,30
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2627123870583963
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26131356151895835
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1221980329289938
timing__setup__ws__corner:nom_ff_n40C_1v95,76.82509779122233
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.122198
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,93.980934
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,677
design__max_fanout_violation__count,30
design__max_cap_violation__count,2
clock__skew__worst_hold,-0.2609218748247929
clock__skew__worst_setup,0.2597331589987076
timing__hold__ws,0.11817164248286287
timing__setup__ws,70.44143956406425
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.118172
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,80.822250
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2574
design__instance__area__stdcell,27941.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.815691
design__instance__utilization__stdcell,0.815691
design__rows,81
design__rows:unithd,81
design__sites,27378
design__sites:unithd,27378
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,17
design__instance__area__class:inverter,63.8112
design__instance__count__class:sequential_cell,433
design__instance__area__class:sequential_cell,10116
design__instance__count__class:multi_input_combinational_cell,1007
design__instance__area__class:multi_input_combinational_cell,10566.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,2131
design__instance__area__class:fill_cell,6313.56
design__instance__count__class:tap_cell,456
design__instance__area__class:tap_cell,570.547
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,7290.91
design__instance__displacement__mean,2.671
design__instance__displacement__max,84.854
route__wirelength__estimated,55917.6
design__violations,0
design__instance__count__class:timing_repair_buffer,583
design__instance__area__class:timing_repair_buffer,5659.18
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,66
design__instance__area__class:clock_buffer,915.878
design__instance__count__class:clock_inverter,3
design__instance__area__class:clock_inverter,22.5216
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,393
global_route__vias,6276
global_route__wirelength,100505
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,7
design__instance__count__class:antenna_cell,7
design__instance__area__class:antenna_cell,17.5168
route__net,2108
route__net__special,2
route__drc_errors__iter:0,847
route__wirelength__iter:0,66852
route__drc_errors__iter:1,291
route__wirelength__iter:1,65972
route__drc_errors__iter:2,303
route__wirelength__iter:2,65866
route__drc_errors__iter:3,4
route__wirelength__iter:3,65772
route__drc_errors__iter:4,0
route__wirelength__iter:4,65769
route__drc_errors,0
route__wirelength,65769
route__vias,15503
route__vias__singlecut,15503
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,381.85
timing__unannotated_net__count__corner:nom_tt_025C_1v80,51
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,51
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
