Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,16244
design__instance__area,72564.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,334
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,8
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0010574260959401727
power__switching__total,0.0005408555152826011
power__leakage__total,7.537250468203638E-8
power__total,0.001598356873728335
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.29081457509709735
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2914366330753878
timing__hold__ws__corner:nom_tt_025C_1v80,0.32136699766486787
timing__setup__ws__corner:nom_tt_025C_1v80,10.501678046638029
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.321367
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,10.501678
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,961
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,8
design__max_cap_violation__count__corner:nom_ss_100C_1v60,13
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.315751739247684
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3163548124117164
timing__hold__ws__corner:nom_ss_100C_1v60,0.8428700198585598
timing__setup__ws__corner:nom_ss_100C_1v60,2.1339197679544997
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.842870
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,2.133920
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,103
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,8
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2786516374291275
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.279282216369373
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10941403648348394
timing__setup__ws__corner:nom_ff_n40C_1v95,12.845294969057528
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.109414
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,13.825109
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1138
design__max_fanout_violation__count,8
design__max_cap_violation__count,17
clock__skew__worst_hold,-0.2755437900283984
clock__skew__worst_setup,0.27600575384201015
timing__hold__ws,0.1074977914887858
timing__setup__ws,1.6208510548062722
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.107498
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.620851
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,3708
design__instance__area__stdcell,28618.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.394389
design__instance__utilization__stdcell,0.394389
design__rows,81
design__rows:unithd,81
design__sites,57996
design__sites:unithd,57996
design__instance__count__class:buffer,3
design__instance__area__class:buffer,15.0144
design__instance__count__class:inverter,70
design__instance__area__class:inverter,262.752
design__instance__count__class:sequential_cell,261
design__instance__area__class:sequential_cell,5551.57
design__instance__count__class:multi_input_combinational_cell,1831
design__instance__area__class:multi_input_combinational_cell,16646
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,12536
design__instance__area__class:fill_cell,43945.9
design__instance__count__class:tap_cell,1037
design__instance__area__class:tap_cell,1297.49
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1342.56
design__instance__displacement__mean,0.348
design__instance__displacement__max,14.1
route__wirelength__estimated,105195
design__violations,0
design__instance__count__class:timing_repair_buffer,442
design__instance__area__class:timing_repair_buffer,4135.22
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,46
design__instance__area__class:clock_buffer,633.107
design__instance__count__class:clock_inverter,3
design__instance__area__class:clock_inverter,40.0384
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,167
global_route__vias,151
global_route__wirelength,169464
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,7
design__instance__count__class:antenna_cell,15
design__instance__area__class:antenna_cell,37.536
route__net,2658
route__net__special,2
route__drc_errors__iter:0,228
route__wirelength__iter:0,124692
route__drc_errors__iter:1,44
route__wirelength__iter:1,124617
route__drc_errors__iter:2,24
route__wirelength__iter:2,124608
route__drc_errors__iter:3,0
route__wirelength__iter:3,124578
route__drc_errors__iter:4,0
route__wirelength__iter:4,124585
route__drc_errors,0
route__wirelength,124578
route__vias,22422
route__vias__singlecut,22422
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,504.8
timing__unannotated_net__count__corner:nom_tt_025C_1v80,41
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,41
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,41
