Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,475
design__inferred_latch__count,0
design__instance__count,11205
design__instance__area,72564.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,454
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,51
design__max_cap_violation__count__corner:nom_tt_025C_1v80,1
power__internal__total,0.0012515722773969173
power__switching__total,0.0004634734068531543
power__leakage__total,8.540381912780504E-8
power__total,0.0017151311039924622
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2887603293765354
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2887603293765354
timing__hold__ws__corner:nom_tt_025C_1v80,0.3139829596304023
timing__setup__ws__corner:nom_tt_025C_1v80,26.73946473259889
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.313983
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,26.739464
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1364
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,51
design__max_cap_violation__count__corner:nom_ss_100C_1v60,23
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.31307232692427467
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.31307232692427467
timing__hold__ws__corner:nom_ss_100C_1v60,0.8824179414710389
timing__setup__ws__corner:nom_ss_100C_1v60,13.674977981501241
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.882418
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,13.674978
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,198
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,51
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2781546460780982
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2781546460780982
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1067380103403955
timing__setup__ws__corner:nom_ff_n40C_1v95,29.093990262677664
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.106738
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,31.429075
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1627
design__max_fanout_violation__count,51
design__max_cap_violation__count,30
clock__skew__worst_hold,-0.274025559999285
clock__skew__worst_setup,0.274025559999285
timing__hold__ws,0.10607337530790649
timing__setup__ws,13.033501757871676
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.106073
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,13.033502
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,5538
design__instance__area__stdcell,54707.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.753914
design__instance__utilization__stdcell,0.753914
design__rows,81
design__rows:unithd,81
design__sites,57996
design__sites:unithd,57996
design__instance__count__class:buffer,15
design__instance__area__class:buffer,61.3088
design__instance__count__class:inverter,33
design__instance__area__class:inverter,123.869
design__instance__count__class:sequential_cell,739
design__instance__area__class:sequential_cell,19307.3
design__instance__count__class:multi_input_combinational_cell,2398
design__instance__area__class:multi_input_combinational_cell,21274.2
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,5667
design__instance__area__class:fill_cell,17857.1
design__instance__count__class:tap_cell,1037
design__instance__area__class:tap_cell,1297.49
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,27584.1
design__instance__displacement__mean,4.915
design__instance__displacement__max,166.06
route__wirelength__estimated,123307
design__violations,0
design__instance__count__class:timing_repair_buffer,1103
design__instance__area__class:timing_repair_buffer,10769.1
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,114
design__instance__area__class:clock_buffer,1538.98
design__instance__count__class:clock_inverter,11
design__instance__area__class:clock_inverter,115.11
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,660
global_route__vias,51
global_route__wirelength,244563
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0273,1
flow__warnings__count:GRT-0704,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,20
design__instance__count__class:antenna_cell,88
design__instance__area__class:antenna_cell,220.211
route__net,4384
route__net__special,2
route__drc_errors__iter:0,146
route__wirelength__iter:0,166014
route__drc_errors__iter:1,47
route__wirelength__iter:1,165978
route__drc_errors__iter:2,43
route__wirelength__iter:2,165982
route__drc_errors__iter:3,16
route__wirelength__iter:3,165980
route__drc_errors__iter:4,16
route__wirelength__iter:4,165980
route__drc_errors__iter:5,0
route__wirelength__iter:5,165987
route__drc_errors__iter:6,147
route__wirelength__iter:6,166291
route__drc_errors__iter:7,145
route__wirelength__iter:7,166294
route__drc_errors__iter:8,145
route__wirelength__iter:8,166294
route__drc_errors__iter:9,103
route__wirelength__iter:9,166164
route__drc_errors__iter:10,75
route__wirelength__iter:10,166136
route__drc_errors__iter:11,35
