Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,21
design__inferred_latch__count,0
design__instance__count,26077
design__instance__area,110874
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,110
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,6
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008843311807140708
power__switching__total,0.0003875428228639066
power__leakage__total,1.086871677102863E-7
power__total,0.0012719826772809029
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2810519951874051
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2821694902044465
timing__hold__ws__corner:nom_tt_025C_1v80,0.3132548753502615
timing__setup__ws__corner:nom_tt_025C_1v80,9.264615115087388
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.313255
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.145919
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1002
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,6
design__max_cap_violation__count__corner:nom_ss_100C_1v60,2
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2986951603933698
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3009161616169466
timing__hold__ws__corner:nom_ss_100C_1v60,0.8542534699188948
timing__setup__ws__corner:nom_ss_100C_1v60,1.7829453973427256
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.854253
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,1.782945
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,22
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,6
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.27195305110945145
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.272623681346443
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10596296362498486
timing__setup__ws__corner:nom_ff_n40C_1v95,11.60777729014314
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.105963
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1069
design__max_fanout_violation__count,6
design__max_cap_violation__count,4
clock__skew__worst_hold,-0.2681574482810916
clock__skew__worst_setup,0.2697176169861463
timing__hold__ws,0.10487383480702492
timing__setup__ws,1.6158150830241456
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.104874
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.615815
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 508.76 225.76
design__core__bbox,2.76 2.72 506.0 223.04
design__io,45
design__die__area,114858
design__core__area,110874
design__instance__count__stdcell,5127
design__instance__area__stdcell,37194.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.335466
design__instance__utilization__stdcell,0.335466
design__rows,81
design__rows:unithd,81
design__sites,88614
design__sites:unithd,88614
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,122
design__instance__area__class:inverter,457.939
design__instance__count__class:sequential_cell,222
design__instance__area__class:sequential_cell,4722.03
design__instance__count__class:multi_input_combinational_cell,2888
design__instance__area__class:multi_input_combinational_cell,26893.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,20950
design__instance__area__class:fill_cell,73679.4
design__instance__count__class:tap_cell,1577
design__instance__area__class:tap_cell,1973.14
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,249.073
design__instance__displacement__mean,0.047
design__instance__displacement__max,5.52
route__wirelength__estimated,86909.4
design__violations,0
design__instance__count__class:timing_repair_buffer,271
design__instance__area__class:timing_repair_buffer,2514.91
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,38
design__instance__area__class:clock_buffer,560.538
design__instance__count__class:clock_inverter,5
design__instance__area__class:clock_inverter,57.5552
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,42
global_route__vias,9604
global_route__wirelength,148777
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
design__instance__count__class:antenna_cell,2
design__instance__area__class:antenna_cell,5.0048
route__net,3553
route__net__special,2
route__drc_errors__iter:0,1592
route__wirelength__iter:0,100428
route__drc_errors__iter:1,786
route__wirelength__iter:1,99507
route__drc_errors__iter:2,612
route__wirelength__iter:2,99482
route__drc_errors__iter:3,88
route__wirelength__iter:3,99298
route__drc_errors__iter:4,0
route__wirelength__iter:4,99286
route__drc_errors,0
route__wirelength,99286
route__vias,26173
route__vias__singlecut,26173
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,376.76
timing__unannotated_net__count__corner:nom_tt_025C_1v80,39
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,39
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,39
