Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,3104
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,11
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0011531548807397485
power__switching__total,0.0009690120350569487
power__leakage__total,1.5822342547267E-8
power__total,0.0021221828646957874
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26233352344052796
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2621032631787085
timing__hold__ws__corner:nom_tt_025C_1v80,0.3267275431574233
timing__setup__ws__corner:nom_tt_025C_1v80,10.007357004103051
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.326728
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,10.007357
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,162
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.26695732491310564
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.26673133901005186
timing__hold__ws__corner:nom_ss_100C_1v60,0.8775755925898828
timing__setup__ws__corner:nom_ss_100C_1v60,-0.0022346569671659305
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-0.0022346569671659305
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.0022346569671659305
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.877576
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,1
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-0.002235
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,1
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2609704193279176
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2607351908179224
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10786427611957947
timing__setup__ws__corner:nom_ff_n40C_1v95,13.704348266314534
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.107864
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,13.704349
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,173
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2581362141549221
clock__skew__worst_setup,0.25799049737881885
timing__hold__ws,0.10601991806775891
timing__setup__ws,-0.2649525118741131
timing__hold__tns,0.0
timing__setup__tns,-1.7484272302632595
timing__hold__wns,0
timing__setup__wns,-0.2649525118741131
timing__hold_vio__count,0
timing__hold_r2r__ws,0.106020
timing__hold_r2r_vio__count,0
timing__setup_vio__count,10
timing__setup_r2r__ws,-0.264953
timing__setup_r2r_vio__count,10
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,935
design__instance__area__stdcell,9122.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.553103
design__instance__utilization__stdcell,0.553103
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,3
design__instance__area__class:buffer,15.0144
design__instance__count__class:inverter,18
design__instance__area__class:inverter,67.5648
design__instance__count__class:sequential_cell,128
design__instance__area__class:sequential_cell,3363.23
design__instance__count__class:multi_input_combinational_cell,387
design__instance__area__class:multi_input_combinational_cell,3686.04
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,2169
design__instance__area__class:fill_cell,7370.82
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,347.871
design__instance__displacement__mean,0.343
design__instance__displacement__max,8.945
route__wirelength__estimated,18419.3
design__violations,0
design__instance__count__class:timing_repair_buffer,143
design__instance__area__class:timing_repair_buffer,1358.8
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,31
design__instance__area__class:clock_buffer,350.336
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,69
global_route__vias,5356
global_route__wirelength,33534
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,715
route__net__special,2
route__drc_errors__iter:0,299
route__wirelength__iter:0,21320
route__drc_errors__iter:1,119
route__wirelength__iter:1,21246
route__drc_errors__iter:2,91
route__wirelength__iter:2,21153
route__drc_errors__iter:3,0
route__wirelength__iter:3,21150
route__drc_errors,0
route__wirelength,21150
route__vias,5386
route__vias__singlecut,5386
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,320.5
timing__unannotated_net__count__corner:nom_tt_025C_1v80,38
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,38
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,38
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
