Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,18
design__inferred_latch__count,0
design__instance__count,12415
design__instance__area,72564.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,675
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,39
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.004904758185148239
power__switching__total,0.0067076231352984905
power__leakage__total,6.827901444239615E-8
power__total,0.011612449772655964
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2958659789797028
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.29492722987468134
timing__hold__ws__corner:nom_tt_025C_1v80,0.3363617257706863
timing__setup__ws__corner:nom_tt_025C_1v80,7.209573586638865
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.336362
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,7.816581
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,2889
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,39
design__max_cap_violation__count__corner:nom_ss_100C_1v60,38
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3216223767233299
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.32070622065749854
timing__hold__ws__corner:nom_ss_100C_1v60,0.8873827479552744
timing__setup__ws__corner:nom_ss_100C_1v60,-3.2180232722736557
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-71.26634417647485
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-3.2180232722736557
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.887383
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,41
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-3.218023
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,40
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,334
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,39
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2822445412830337
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.28128608571876784
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11455381412134893
timing__setup__ws__corner:nom_ff_n40C_1v95,10.558405115730206
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.114554
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,12.044250
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,3253
design__max_fanout_violation__count,39
design__max_cap_violation__count,48
clock__skew__worst_hold,-0.2778126418656899
clock__skew__worst_setup,0.2773419628010883
timing__hold__ws,0.11089857124284697
timing__setup__ws,-4.162098339339455
timing__hold__tns,0.0
timing__setup__tns,-108.53972605690181
timing__hold__wns,0
timing__setup__wns,-4.162098339339455
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110899
timing__hold_r2r_vio__count,0
timing__setup_vio__count,120
timing__setup_r2r__ws,-4.162098
timing__setup_r2r_vio__count,117
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,5358
design__instance__area__stdcell,49304.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.679461
design__instance__utilization__stdcell,0.679461
design__rows,81
design__rows:unithd,81
design__sites,57996
design__sites:unithd,57996
design__instance__count__class:buffer,10
design__instance__area__class:buffer,50.048
design__instance__count__class:inverter,102
design__instance__area__class:inverter,382.867
design__instance__count__class:sequential_cell,444
design__instance__area__class:sequential_cell,11666.2
design__instance__count__class:multi_input_combinational_cell,2835
design__instance__area__class:multi_input_combinational_cell,27376.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,7057
design__instance__area__class:fill_cell,23259.8
design__instance__count__class:tap_cell,1037
design__instance__area__class:tap_cell,1297.49
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,7497.38
design__instance__displacement__mean,1.383
design__instance__displacement__max,87.54
route__wirelength__estimated,199534
design__violations,0
design__instance__count__class:timing_repair_buffer,748
design__instance__area__class:timing_repair_buffer,7120.58
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,76
design__instance__area__class:clock_buffer,1053.51
design__instance__count__class:clock_inverter,7
design__instance__area__class:clock_inverter,110.106
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,146
global_route__vias,12
global_route__wirelength,350575
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,28
design__instance__count__class:antenna_cell,99
design__instance__area__class:antenna_cell,247.738
route__net,4209
route__net__special,2
route__drc_errors__iter:0,67
route__wirelength__iter:0,243560
route__drc_errors__iter:1,19
route__wirelength__iter:1,243541
route__drc_errors__iter:2,0
route__wirelength__iter:2,243546
route__drc_errors__iter:3,29
route__wirelength__iter:3,243528
route__drc_errors__iter:4,29
route__wirelength__iter:4,243528
route__drc_errors__iter:5,0
route__wirelength__iter:5,243545
route__drc_errors__iter:6,78
route__wirelength__iter:6,243504
route__drc_errors__iter:7,77
route__wirelength__iter:7,243504
route__drc_errors__iter:8,77
route__wirelength__iter:8,243504
route__drc_errors__iter:9,1
route__wirelength__iter:9,243506
route__drc_errors__iter:10,0
route__wirelength__iter:10,243518
route__drc_errors__iter:11,8
route__wirelength__iter:11,243334
route__drc_errors__iter:12,8
