Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,8
design__inferred_latch__count,0
design__instance__count,9699
design__instance__area,72060.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,7
design__max_cap_violation__count__corner:nom_tt_025C_1v80,2
power__internal__total,0.0008673281990922987
power__switching__total,0.0004463689692784101
power__leakage__total,5.6648179480589533E-8
power__total,0.001313753891736269
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25942163040918714
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26062205908851355
timing__hold__ws__corner:nom_tt_025C_1v80,0.32233888692811163
timing__setup__ws__corner:nom_tt_025C_1v80,28.0586992693289
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.322339
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,28.058699
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,11
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,7
design__max_cap_violation__count__corner:nom_ss_100C_1v60,3
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2656143991045385
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.26588984544473815
timing__hold__ws__corner:nom_ss_100C_1v60,0.8775089792065214
timing__setup__ws__corner:nom_ss_100C_1v60,23.194471000363155
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.877509
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,23.194471
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,7
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,2
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25708022549518444
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25767128049463545
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10982293163501772
timing__setup__ws__corner:nom_ff_n40C_1v95,29.781324915770153
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.109823
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,29.781324
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,22
design__max_fanout_violation__count,7
design__max_cap_violation__count,4
clock__skew__worst_hold,-0.2563638540682847
clock__skew__worst_setup,0.2563138940307636
timing__hold__ws,0.10802664624152303
timing__setup__ws,23.00866762242069
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108027
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,23.008667
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,3920
design__instance__area__stdcell,36018.3
design__instance__count__macros,4
design__instance__area__macros,17227.7
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.733774
design__instance__utilization__stdcell,0.650891
design__rows,81
design__rows:unithd,81
design__sites,43824
design__sites:unithd,43824
design__instance__count__class:macro,4
design__instance__area__class:macro,17227.7
design__instance__count__class:buffer,8
design__instance__area__class:buffer,40.0384
design__instance__count__class:inverter,101
design__instance__area__class:inverter,379.114
design__instance__count__class:sequential_cell,414
design__instance__area__class:sequential_cell,8946.08
design__instance__count__class:multi_input_combinational_cell,2066
design__instance__area__class:multi_input_combinational_cell,19441.1
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,6
flow__warnings__count:ORD-2011,3
flow__warnings__count:ORD-2056,1
flow__warnings__count:STA-0201,1
flow__warnings__count:STA-0351,1
flow__warnings__count:STA-1110,98
flow__warnings__count:STA-1111,116
flow__warnings__count:STA-1243,78
flow__warnings__count:STA-1551,5
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,5775
design__instance__area__class:fill_cell,18814.3
design__instance__count__class:tap_cell,802
design__instance__area__class:tap_cell,1003.46
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,9
timing__drv__floating__pins,12
design__instance__displacement__total,3801.55
design__instance__displacement__mean,0.93
design__instance__displacement__max,59.86
route__wirelength__estimated,74086.1
design__violations,0
design__instance__count__class:timing_repair_buffer,408
design__instance__area__class:timing_repair_buffer,4073.91
flow__warnings__count:RSZ-0020,1
flow__warnings__count:RSZ-0095,1
flow__warnings__count:STA-1140,38
design__instance__count__class:clock_buffer,113
design__instance__area__class:clock_buffer,2015.68
design__instance__count__class:clock_inverter,7
design__instance__area__class:clock_inverter,116.362
flow__warnings__count:CTS-0041,4
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,214
global_route__vias,41
global_route__wirelength,129340
flow__warnings__count:GRT-0115,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
route__net,3148
route__net__special,2
route__drc_errors__iter:0,24
route__wirelength__iter:0,82995
route__drc_errors__iter:1,1
route__wirelength__iter:1,82977
route__drc_errors__iter:2,1
route__wirelength__iter:2,82976
route__drc_errors__iter:3,0
route__wirelength__iter:3,82973
route__drc_errors__iter:4,1
route__wirelength__iter:4,82952
route__drc_errors__iter:5,0
route__wirelength__iter:5,82952
route__drc_errors,0
route__wirelength,82973
route__vias,23567
route__vias__singlecut,23567
route__vias__multicut,0
