Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,492
design__inferred_latch__count,0
design__instance__count,2453
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,11
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008050601463764906
power__switching__total,0.0002003503468586132
power__leakage__total,1.842049002220847E-8
power__total,0.0010054288432002068
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2581031295078525
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2581134545822736
timing__hold__ws__corner:nom_tt_025C_1v80,0.3142933224857139
timing__setup__ws__corner:nom_tt_025C_1v80,12.32199621658187
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.314293
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.869094
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,131
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.26398348143523864
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.26399336242043725
timing__hold__ws__corner:nom_ss_100C_1v60,0.843586557818918
timing__setup__ws__corner:nom_ss_100C_1v60,7.722896318822311
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.843587
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.722896
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25582042763793716
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25558622608426884
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10857171025087821
timing__setup__ws__corner:nom_ff_n40C_1v95,13.563901497013667
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.108572
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.107389
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,141
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25525554614703194
clock__skew__worst_setup,0.2552658989770294
timing__hold__ws,0.10675938213422397
timing__setup__ws,7.502686684284426
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.106759
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,7.502687
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1254
design__instance__area__stdcell,12773.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.774465
design__instance__utilization__stdcell,0.774465
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,9
design__instance__area__class:buffer,45.0432
design__instance__count__class:inverter,44
design__instance__area__class:inverter,165.158
design__instance__count__class:sequential_cell,159
design__instance__area__class:sequential_cell,4132.71
design__instance__count__class:multi_input_combinational_cell,632
design__instance__area__class:multi_input_combinational_cell,5821.83
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1199
design__instance__area__class:fill_cell,3719.82
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,869.7
design__instance__displacement__mean,0.652
design__instance__displacement__max,26.02
route__wirelength__estimated,21645.4
design__violations,0
design__instance__count__class:timing_repair_buffer,122
design__instance__area__class:timing_repair_buffer,1176.13
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,63
design__instance__area__class:clock_buffer,1151.1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,56
global_route__vias,7540
global_route__wirelength,40482
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1034
route__net__special,2
route__drc_errors__iter:0,380
route__wirelength__iter:0,23945
route__drc_errors__iter:1,93
route__wirelength__iter:1,23737
route__drc_errors__iter:2,95
route__wirelength__iter:2,23598
route__drc_errors__iter:3,0
route__wirelength__iter:3,23543
route__drc_errors,0
route__wirelength,23543
route__vias,7322
route__vias__singlecut,7322
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,11
design__critical_disconnected_pin__count,0
route__wirelength__max,328.86
timing__unannotated_net__count__corner:nom_tt_025C_1v80,38
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,38
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,38
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,11
design__max_fanout_violation__count__corner:min_tt_025C_1v80,1
