Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,20122
design__instance__area,72564.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0002387943968642503
power__switching__total,0.00006850164209026843
power__leakage__total,7.189252926309564E-8
power__total,0.0003073679399676621
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2559582063191898
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25576011477041866
timing__hold__ws__corner:nom_tt_025C_1v80,0.3455666406393375
timing__setup__ws__corner:nom_tt_025C_1v80,10.202952549399653
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.345567
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,11
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25852451466876664
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25832650638672466
timing__hold__ws__corner:nom_ss_100C_1v60,0.9405738676363207
timing__setup__ws__corner:nom_ss_100C_1v60,8.807657963369078
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.940574
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2545305982470244
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2543313409640444
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11286555343120541
timing__setup__ws__corner:nom_ff_n40C_1v95,10.845214810952884
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.112866
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,22
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25359523532232386
clock__skew__worst_setup,0.25349567606977486
timing__hold__ws,0.11059814488388676
timing__setup__ws,8.775909136680559
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110598
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,1364
design__instance__area__stdcell,4760.82
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.065608
design__instance__utilization__stdcell,0.065608
design__rows,81
design__rows:unithd,81
design__sites,57996
design__sites:unithd,57996
design__instance__count__class:buffer,12
design__instance__area__class:buffer,60.0576
design__instance__count__class:inverter,20
design__instance__area__class:inverter,75.072
design__instance__count__class:sequential_cell,52
design__instance__area__class:sequential_cell,1106.06
design__instance__count__class:multi_input_combinational_cell,187
design__instance__area__class:multi_input_combinational_cell,1541.48
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,18758
design__instance__area__class:fill_cell,67803.8
design__instance__count__class:tap_cell,1037
design__instance__area__class:tap_cell,1297.49
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,175.466
design__instance__displacement__mean,0.114
design__instance__displacement__max,8.16
route__wirelength__estimated,6092.64
design__violations,0
design__instance__count__class:timing_repair_buffer,43
design__instance__area__class:timing_repair_buffer,425.408
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,13
design__instance__area__class:clock_buffer,255.245
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,24
global_route__vias,2197
global_route__wirelength,11074
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,342
route__net__special,2
route__drc_errors__iter:0,115
route__wirelength__iter:0,7069
route__drc_errors__iter:1,44
route__wirelength__iter:1,6970
route__drc_errors__iter:2,32
route__wirelength__iter:2,6943
route__drc_errors__iter:3,11
route__wirelength__iter:3,6932
route__drc_errors__iter:4,4
route__wirelength__iter:4,6929
route__drc_errors__iter:5,0
route__wirelength__iter:5,6927
route__drc_errors,0
route__wirelength,6927
route__vias,2318
route__vias__singlecut,2318
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,187.94
timing__unannotated_net__count__corner:nom_tt_025C_1v80,24
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,24
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,24
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
