Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1978
design__inferred_latch__count,0
design__instance__count,43884
design__instance__area,225802
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,574
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,117
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0016425802605226636
power__switching__total,0.0005900135147385299
power__leakage__total,2.3447113051133783E-7
power__total,0.002232828177511692
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.3206404954525819
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.33201894950916483
timing__hold__ws__corner:nom_tt_025C_1v80,0.32344583482612077
timing__setup__ws__corner:nom_tt_025C_1v80,19.418540214333003
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.323446
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,49.430431
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,2963
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,117
design__max_cap_violation__count__corner:nom_ss_100C_1v60,20
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3590736420945069
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3759929973790964
timing__hold__ws__corner:nom_ss_100C_1v60,0.8639829096703647
timing__setup__ws__corner:nom_ss_100C_1v60,6.425516300905532
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.863983
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,44.282269
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,186
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,117
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.30152117767132713
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.30910838652504513
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11281575992714273
timing__setup__ws__corner:nom_ff_n40C_1v95,24.346871874375154
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.112816
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,51.330013
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,3317
design__max_fanout_violation__count,117
design__max_cap_violation__count,27
clock__skew__worst_hold,-0.29410372192287526
clock__skew__worst_setup,0.3008182399434053
timing__hold__ws,0.11053214212320611
timing__setup__ws,5.66802087974297
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110532
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,44.132179
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1030.4 225.76
design__core__bbox,2.76 2.72 1027.64 223.04
design__io,45
design__die__area,232623
design__core__area,225802
design__instance__count__stdcell,14636
design__instance__area__stdcell,127056
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.562687
design__instance__utilization__stdcell,0.562687
design__rows,81
design__rows:unithd,81
design__sites,180468
design__sites:unithd,180468
design__instance__count__class:buffer,5
design__instance__area__class:buffer,25.024
design__instance__count__class:inverter,162
design__instance__area__class:inverter,608.083
design__instance__count__class:sequential_cell,1468
design__instance__area__class:sequential_cell,31224.9
design__instance__count__class:multi_input_combinational_cell,6752
design__instance__area__class:multi_input_combinational_cell,62976.6
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,29248
design__instance__area__class:fill_cell,98746
design__instance__count__class:tap_cell,3278
design__instance__area__class:tap_cell,4101.43
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,10482.5
design__instance__displacement__mean,0.715
design__instance__displacement__max,29.58
route__wirelength__estimated,370372
design__violations,0
design__instance__count__class:timing_repair_buffer,2611
design__instance__area__class:timing_repair_buffer,24931.4
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,200
design__instance__area__class:clock_buffer,2737.63
design__instance__count__class:clock_inverter,14
design__instance__area__class:clock_inverter,85.0816
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1267
global_route__vias,314
global_route__wirelength,599299
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,19
design__instance__count__class:antenna_cell,146
design__instance__area__class:antenna_cell,365.35
route__net,11157
route__net__special,2
route__drc_errors__iter:0,840
route__wirelength__iter:0,430578
route__drc_errors__iter:1,240
route__wirelength__iter:1,430381
route__drc_errors__iter:2,202
route__wirelength__iter:2,430341
route__drc_errors__iter:3,9
route__wirelength__iter:3,430306
route__drc_errors__iter:4,0
route__wirelength__iter:4,430305
route__drc_errors__iter:5,14
route__wirelength__iter:5,430294
route__drc_errors__iter:6,13
route__wirelength__iter:6,430295
route__drc_errors__iter:7,13
route__wirelength__iter:7,430295
route__drc_errors__iter:8,0
route__wirelength__iter:8,430311
route__drc_errors,0
route__wirelength,430305
route__vias,85666
route__vias__singlecut,85666
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,754.45
