Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,6186
design__instance__area,34255.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,11
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.1758115142583847
power__switching__total,0.2121809870004654
power__leakage__total,3.449487451234745E-8
power__total,0.3879925310611725
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2539153958961049
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2539153958961049
timing__hold__ws__corner:nom_tt_025C_1v80,0.3510891676757669
timing__setup__ws__corner:nom_tt_025C_1v80,14.125698344180028
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.351089
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,340
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2553811401302447
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2553811401302447
timing__hold__ws__corner:nom_ss_100C_1v60,0.972786101428424
timing__setup__ws__corner:nom_ss_100C_1v60,-1.1820447177862952
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-5.342396898303235
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-1.1820447177862952
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.972786
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,8
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2530703496170119
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2530703496170119
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12391488186282994
timing__setup__ws__corner:nom_ff_n40C_1v95,19.98490673959796
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.123915
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,358
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25251626504532654
clock__skew__worst_setup,0.25251626504532654
timing__hold__ws,0.11957457584760812
timing__setup__ws,-1.4755876937991488
timing__hold__tns,0.0
timing__setup__tns,-7.624638913828816
timing__hold__wns,0
timing__setup__wns,-1.4755876937991488
timing__hold_vio__count,0
timing__hold_r2r__ws,0.119575
timing__hold_r2r_vio__count,0
timing__setup_vio__count,23
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2728
design__instance__area__stdcell,23423.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.683797
design__instance__utilization__stdcell,0.683797
design__rows,81
design__rows:unithd,81
design__sites,27378
design__sites:unithd,27378
design__instance__count__class:buffer,3
design__instance__area__class:buffer,15.0144
design__instance__count__class:inverter,44
design__instance__area__class:inverter,165.158
design__instance__count__class:sequential_cell,25
design__instance__area__class:sequential_cell,656.88
design__instance__count__class:multi_input_combinational_cell,2076
design__instance__area__class:multi_input_combinational_cell,20911.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,3458
design__instance__area__class:fill_cell,10831.6
design__instance__count__class:tap_cell,456
design__instance__area__class:tap_cell,570.547
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,90.209
design__instance__displacement__mean,0.031
design__instance__displacement__max,5.98
route__wirelength__estimated,46666.3
design__violations,0
design__instance__count__class:timing_repair_buffer,116
design__instance__area__class:timing_repair_buffer,957.168
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,8
design__instance__area__class:clock_buffer,147.642
design__instance__count__setup_buffer,6
design__instance__count__hold_buffer,0
global_route__vias,15720
global_route__wirelength,78894
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2288
route__net__special,2
route__drc_errors__iter:0,355
route__wirelength__iter:0,48789
route__drc_errors__iter:1,90
route__wirelength__iter:1,48339
route__drc_errors__iter:2,93
route__wirelength__iter:2,48266
route__drc_errors__iter:3,0
route__wirelength__iter:3,48285
route__drc_errors,0
route__wirelength,48285
route__vias,15883
route__vias__singlecut,15883
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,250.835
timing__unannotated_net__count__corner:nom_tt_025C_1v80,26
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,26
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,26
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
