Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,40
design__inferred_latch__count,0
design__instance__count,6077
design__instance__area,34255.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,22
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.003861570730805397
power__switching__total,0.0034143293742090464
power__leakage__total,3.759546629567012E-8
power__total,0.007275937590748072
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.27147371230501294
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.27159350537275795
timing__hold__ws__corner:nom_tt_025C_1v80,0.3243468363472374
timing__setup__ws__corner:nom_tt_025C_1v80,8.330240732995907
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.324347
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.330241
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,94
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2770680152620143
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.27717959267914477
timing__hold__ws__corner:nom_ss_100C_1v60,0.8681985376363951
timing__setup__ws__corner:nom_ss_100C_1v60,-2.231203729372472
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-6.375630870373798
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-2.231203729372472
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.868199
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,3
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-2.231204
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,3
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,11
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26839778381714446
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2685212683765508
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10762230300451894
timing__setup__ws__corner:nom_ff_n40C_1v95,12.668900953559481
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.107622
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,12.668900
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,116
design__max_fanout_violation__count,1
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.2648869254470785
clock__skew__worst_setup,0.2649681382636267
timing__hold__ws,0.1062742701698941
timing__setup__ws,-2.457341066851082
timing__hold__tns,0.0
timing__setup__tns,-7.0571266383700415
timing__hold__wns,0
timing__setup__wns,-2.457341066851082
timing__hold_vio__count,0
timing__hold_r2r__ws,0.106274
timing__hold_r2r_vio__count,0
timing__setup_vio__count,9
timing__setup_r2r__ws,-2.457341
timing__setup_r2r_vio__count,9
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2664
design__instance__area__stdcell,23558.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.687742
design__instance__utilization__stdcell,0.687742
design__rows,81
design__rows:unithd,81
design__sites,27378
design__sites:unithd,27378
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,102
design__instance__area__class:inverter,382.867
design__instance__count__class:sequential_cell,191
design__instance__area__class:sequential_cell,4077.66
design__instance__count__class:multi_input_combinational_cell,1561
design__instance__area__class:multi_input_combinational_cell,14850.5
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,3413
design__instance__area__class:fill_cell,10696.5
design__instance__count__class:tap_cell,456
design__instance__area__class:tap_cell,570.547
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1832.5
design__instance__displacement__mean,0.648
design__instance__displacement__max,25.48
route__wirelength__estimated,45612.7
design__violations,0
design__instance__count__class:timing_repair_buffer,302
design__instance__area__class:timing_repair_buffer,2613.76
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,50
design__instance__area__class:clock_buffer,1053.51
design__instance__count__setup_buffer,82
design__instance__count__hold_buffer,112
flow__warnings__count:RSZ-0062,1
global_route__vias,16464
global_route__wirelength,82455
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,2226
route__net__special,2
route__drc_errors__iter:0,505
route__wirelength__iter:0,49991
route__drc_errors__iter:1,162
route__wirelength__iter:1,49442
route__drc_errors__iter:2,176
route__wirelength__iter:2,49223
route__drc_errors__iter:3,4
route__wirelength__iter:3,49169
route__drc_errors__iter:4,0
route__wirelength__iter:4,49178
route__drc_errors,0
route__wirelength,49178
route__vias,15892
route__vias__singlecut,15892
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,4
design__critical_disconnected_pin__count,0
route__wirelength__max,441.9
timing__unannotated_net__count__corner:nom_tt_025C_1v80,24
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,24
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,24
