Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,450
design__inferred_latch__count,0
design__instance__count,2144
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0012819921830669045
power__switching__total,0.0008001927053555846
power__leakage__total,1.6760653309688678E-8
power__total,0.0020822016522288322
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2633564829643488
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2632581727127379
timing__hold__ws__corner:nom_tt_025C_1v80,0.23934033210546365
timing__setup__ws__corner:nom_tt_025C_1v80,10.486423581848253
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.239340
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,10.486423
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,183
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2710507173206676
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.27095268462482064
timing__hold__ws__corner:nom_ss_100C_1v60,0.745776905783918
timing__setup__ws__corner:nom_ss_100C_1v60,-0.20685853615535751
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-0.20685853615535751
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.20685853615535751
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.745777
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,1
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-0.206859
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,1
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.259431594661115
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25933300685374
timing__hold__ws__corner:nom_ff_n40C_1v95,0.05561068429819303
timing__setup__ws__corner:nom_ff_n40C_1v95,12.954768291452204
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.055611
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,223
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2583887621445912
clock__skew__worst_setup,0.2583822673397135
timing__hold__ws,0.054607042655546965
timing__setup__ws,-0.33521630864378593
timing__hold__tns,0.0
timing__setup__tns,-0.3916653778827358
timing__hold__wns,0
timing__setup__wns,-0.33521630864378593
timing__hold_vio__count,0
timing__hold_r2r__ws,0.054607
timing__hold_r2r_vio__count,0
timing__setup_vio__count,4
timing__setup_r2r__ws,-0.335216
timing__setup_r2r_vio__count,4
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1464
design__instance__area__stdcell,14670.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.88947
design__instance__utilization__stdcell,0.88947
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,5
design__instance__area__class:buffer,25.024
design__instance__count__class:inverter,72
design__instance__area__class:inverter,270.259
design__instance__count__class:sequential_cell,152
design__instance__area__class:sequential_cell,3993.83
design__instance__count__class:multi_input_combinational_cell,865
design__instance__area__class:multi_input_combinational_cell,8216.63
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,680
design__instance__area__class:fill_cell,1823
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,33876.1
design__violations,0
design__instance__count__class:timing_repair_buffer,84
design__instance__area__class:timing_repair_buffer,766.986
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,57
design__instance__area__class:clock_buffer,1106.06
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,4158
global_route__wirelength,58318
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,4
design__instance__count__class:antenna_cell,4
design__instance__area__class:antenna_cell,10.0096
route__net,1246
route__net__special,2
route__drc_errors__iter:0,1031
route__wirelength__iter:0,39640
route__drc_errors__iter:1,554
route__wirelength__iter:1,39454
route__drc_errors__iter:2,488
route__wirelength__iter:2,39219
route__drc_errors__iter:3,62
route__wirelength__iter:3,39154
route__drc_errors__iter:4,3
route__wirelength__iter:4,39162
route__drc_errors__iter:5,0
route__wirelength__iter:5,39166
route__drc_errors,0
route__wirelength,39166
route__vias,10034
route__vias__singlecut,10034
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,6
design__critical_disconnected_pin__count,0
route__wirelength__max,348.385
timing__unannotated_net__count__corner:nom_tt_025C_1v80,24
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,24
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
