Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,8
design__inferred_latch__count,0
design__instance__count,2096
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,34
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,3
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0009476582636125386
power__switching__total,0.0006349290488287807
power__leakage__total,1.971320351401573E-8
power__total,0.001582607044838369
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.3773567953811168
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.35070344843052764
timing__hold__ws__corner:nom_tt_025C_1v80,0.3252722627755865
timing__setup__ws__corner:nom_tt_025C_1v80,2.265850682326437
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.325272
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.974592
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,319
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,3
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.45173019381496954
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.4100035704773482
timing__hold__ws__corner:nom_ss_100C_1v60,0.9043521742996907
timing__setup__ws__corner:nom_ss_100C_1v60,-0.739385462672691
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-8.92825039171445
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.739385462672691
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.904352
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,42
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,8.064345
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,3
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.34717205093392517
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.32571987695619914
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11061374351782391
timing__setup__ws__corner:nom_ff_n40C_1v95,3.686440590465471
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.110614
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,9.276430
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,376
design__max_fanout_violation__count,3
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.3341415849699779
clock__skew__worst_setup,0.31636913428913915
timing__hold__ws,0.10907275391606203
timing__setup__ws,-0.8876757358197593
timing__hold__tns,0.0
timing__setup__tns,-16.364453366690356
timing__hold__wns,0
timing__setup__wns,-0.8876757358197593
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109073
timing__hold_r2r_vio__count,0
timing__setup_vio__count,98
timing__setup_r2r__ws,8.058988
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1570
design__instance__area__stdcell,15234.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.923684
design__instance__utilization__stdcell,0.923684
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,1
design__instance__area__class:buffer,5.0048
design__instance__count__class:inverter,23
design__instance__area__class:inverter,86.3328
design__instance__count__class:sequential_cell,186
design__instance__area__class:sequential_cell,4887.19
design__instance__count__class:multi_input_combinational_cell,594
design__instance__area__class:multi_input_combinational_cell,5547.82
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,526
design__instance__area__class:fill_cell,1258.71
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,13477.7
design__instance__displacement__mean,8.376
design__instance__displacement__max,158.12
route__wirelength__estimated,43655.7
design__violations,0
design__instance__count__class:timing_repair_buffer,263
design__instance__area__class:timing_repair_buffer,2566.21
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,50
design__instance__area__class:clock_buffer,1053.51
design__instance__count__class:clock_inverter,189
design__instance__area__class:clock_inverter,709.43
flow__warnings__count:CTS-0041,184
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,88
global_route__vias,84
global_route__wirelength,80198
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0273,1
flow__warnings__count:GRT-0704,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,7
design__instance__count__class:antenna_cell,39
design__instance__area__class:antenna_cell,97.5936
route__net,1319
route__net__special,2
route__drc_errors__iter:0,965
route__wirelength__iter:0,55681
route__drc_errors__iter:1,415
route__wirelength__iter:1,55468
route__drc_errors__iter:2,380
route__wirelength__iter:2,55456
route__drc_errors__iter:3,307
route__wirelength__iter:3,55490
route__drc_errors__iter:4,249
route__wirelength__iter:4,55474
route__drc_errors__iter:5,81
route__wirelength__iter:5,55462
route__drc_errors__iter:6,21
route__wirelength__iter:6,55453
route__drc_errors__iter:7,19
route__wirelength__iter:7,55453
route__drc_errors__iter:8,19
route__wirelength__iter:8,55453
route__drc_errors__iter:9,1
route__wirelength__iter:9,55476
route__drc_errors__iter:10,1
