Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,9367
design__instance__area,72564.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,1187
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,83
design__max_cap_violation__count__corner:nom_tt_025C_1v80,1
power__internal__total,0.002490381011739373
power__switching__total,0.0007119419169612229
power__leakage__total,6.725568368892709E-8
power__total,0.003202390158548951
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2801465527740644
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.27993061438966765
timing__hold__ws__corner:nom_tt_025C_1v80,0.24101932243308935
timing__setup__ws__corner:nom_tt_025C_1v80,13.59882467346397
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.241019
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.598825
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1735
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,83
design__max_cap_violation__count__corner:nom_ss_100C_1v60,86
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.29598765942664307
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2957750517114144
timing__hold__ws__corner:nom_ss_100C_1v60,0.7468397223154501
timing__setup__ws__corner:nom_ss_100C_1v60,2.4484361897633216
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.746840
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,2.448436
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,719
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,83
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,1
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.27244243743254704
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2722233904235934
timing__hold__ws__corner:nom_ff_n40C_1v95,0.058825668223828516
timing__setup__ws__corner:nom_ff_n40C_1v95,17.982707387723973
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.058826
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.982708
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1763
design__max_fanout_violation__count,83
design__max_cap_violation__count,100
clock__skew__worst_hold,-0.2699587574339148
clock__skew__worst_setup,0.2698613908719015
timing__hold__ws,0.05758904627287573
timing__setup__ws,2.19750268646224
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.057589
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,2.197503
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,5258
design__instance__area__stdcell,60317.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.83123
design__instance__utilization__stdcell,0.83123
design__rows,81
design__rows:unithd,81
design__sites,57996
design__sites:unithd,57996
design__instance__count__class:buffer,1
design__instance__area__class:buffer,5.0048
design__instance__count__class:inverter,22
design__instance__area__class:inverter,82.5792
design__instance__count__class:sequential_cell,1010
design__instance__area__class:sequential_cell,26538
design__instance__count__class:multi_input_combinational_cell,2388
design__instance__area__class:multi_input_combinational_cell,24772.5
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,4109
design__instance__area__class:fill_cell,12246.7
design__instance__count__class:tap_cell,1037
design__instance__area__class:tap_cell,1297.49
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,162.803
design__instance__displacement__mean,0.03
design__instance__displacement__max,15.194
route__wirelength__estimated,125855
design__violations,0
design__instance__count__class:timing_repair_buffer,596
design__instance__area__class:timing_repair_buffer,5500.28
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,157
design__instance__area__class:clock_buffer,1959.38
design__instance__count__class:clock_inverter,5
design__instance__area__class:clock_inverter,57.5552
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,9
global_route__vias,333
global_route__wirelength,237104
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,13
design__instance__count__class:antenna_cell,42
design__instance__area__class:antenna_cell,105.101
route__net,4142
route__net__special,2
route__drc_errors__iter:0,446
route__wirelength__iter:0,158734
route__drc_errors__iter:1,126
route__wirelength__iter:1,158578
route__drc_errors__iter:2,80
route__wirelength__iter:2,158544
route__drc_errors__iter:3,0
route__wirelength__iter:3,158517
route__drc_errors__iter:4,15
route__wirelength__iter:4,158745
route__drc_errors__iter:5,0
route__wirelength__iter:5,158758
route__drc_errors,0
route__wirelength,158517
route__vias,35879
route__vias__singlecut,35879
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,810.75
timing__unannotated_net__count__corner:nom_tt_025C_1v80,93
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,93
