Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,455
design__inferred_latch__count,0
design__instance__count,12487
design__instance__area,72564.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,182
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,41
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0020749131217598915
power__switching__total,0.0010628621093928814
power__leakage__total,7.783858535503896E-8
power__total,0.0031378529965877533
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.28814226820124655
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2833917347668237
timing__hold__ws__corner:nom_tt_025C_1v80,0.31725678537800706
timing__setup__ws__corner:nom_tt_025C_1v80,8.377980324404957
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.317257
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.377980
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1125
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,41
design__max_cap_violation__count__corner:nom_ss_100C_1v60,6
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3113774604069478
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3002676803299228
timing__hold__ws__corner:nom_ss_100C_1v60,0.8709651024697023
timing__setup__ws__corner:nom_ss_100C_1v60,-2.350386618525915
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-33.72903474209907
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-2.350386618525915
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.870965
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,16
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-2.350387
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,16
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,35
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,41
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.27668487728538027
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.27460037798654163
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10856021944224836
timing__setup__ws__corner:nom_ff_n40C_1v95,11.046506244616111
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.108560
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,12.441765
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1192
design__max_fanout_violation__count,41
design__max_cap_violation__count,7
clock__skew__worst_hold,-0.27396699573307975
clock__skew__worst_setup,0.271576741004612
timing__hold__ws,0.10692602661493324
timing__setup__ws,-2.829679681774545
timing__hold__tns,0.0
timing__setup__tns,-41.19589053156259
timing__hold__wns,0
timing__setup__wns,-2.829679681774545
timing__hold_vio__count,0
timing__hold_r2r__ws,0.106926
timing__hold_r2r_vio__count,0
timing__setup_vio__count,48
timing__setup_r2r__ws,-2.829680
timing__setup_r2r_vio__count,48
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,4797
design__instance__area__stdcell,47159
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.64989
design__instance__utilization__stdcell,0.64989
design__rows,81
design__rows:unithd,81
design__sites,57996
design__sites:unithd,57996
design__instance__count__class:inverter,33
design__instance__area__class:inverter,123.869
design__instance__count__class:sequential_cell,570
design__instance__area__class:sequential_cell,14976.9
design__instance__count__class:multi_input_combinational_cell,2212
design__instance__area__class:multi_input_combinational_cell,21495.6
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,7690
design__instance__area__class:fill_cell,25405.6
design__instance__count__class:tap_cell,1037
design__instance__area__class:tap_cell,1297.49
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,3923.36
design__instance__displacement__mean,0.793
design__instance__displacement__max,19.04
route__wirelength__estimated,105429
design__violations,0
design__instance__count__class:timing_repair_buffer,843
design__instance__area__class:timing_repair_buffer,8053.97
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,84
design__instance__area__class:clock_buffer,1151.1
design__instance__count__class:clock_inverter,4
design__instance__area__class:clock_inverter,25.024
design__instance__count__setup_buffer,1
design__instance__count__hold_buffer,502
global_route__vias,32
global_route__wirelength,183346
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
antenna_diodes_count,7
design__instance__count__class:antenna_cell,14
design__instance__area__class:antenna_cell,35.0336
route__net,3739
route__net__special,2
route__drc_errors__iter:0,11
route__wirelength__iter:0,122614
route__drc_errors__iter:1,0
route__wirelength__iter:1,122619
route__drc_errors__iter:2,0
route__wirelength__iter:2,122624
route__drc_errors__iter:3,0
route__wirelength__iter:3,122632
route__drc_errors__iter:4,0
route__wirelength__iter:4,122625
route__drc_errors,0
route__wirelength,122619
route__vias,28097
route__vias__singlecut,28097
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,512.67
timing__unannotated_net__count__corner:nom_tt_025C_1v80,44
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,44
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,44
