Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,6
design__inferred_latch__count,0
design__instance__count,1314
design__instance__area,39300
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,40
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,5
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0002448368177283555
power__switching__total,0.00032948650186881423
power__leakage__total,1.085573408943219E-8
power__total,0.000574334233533591
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2801254585359999
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2916299229094417
timing__hold__ws__corner:nom_tt_025C_1v80,0.366121143765115
timing__setup__ws__corner:nom_tt_025C_1v80,7.358390549603712
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.366121
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,7.857783
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,137
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,5
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.29537892412502487
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3092610977064013
timing__hold__ws__corner:nom_ss_100C_1v60,0.9949771288499344
timing__setup__ws__corner:nom_ss_100C_1v60,1.6467077056918582
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.994977
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,1.646708
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,33
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,5
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.27185318654556206
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2820893876109543
timing__hold__ws__corner:nom_ff_n40C_1v95,0.13761969731100646
timing__setup__ws__corner:nom_ff_n40C_1v95,9.016521118274394
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.137620
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,10.153156
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,154
design__max_fanout_violation__count,5
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.2704364031481929
clock__skew__worst_setup,0.27791969512386705
timing__hold__ws,0.13386653275896312
timing__setup__ws,1.3275585451148575
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.133867
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.327559
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,1312
design__instance__area__stdcell,7811.24
design__instance__count__macros,2
design__instance__area__macros,31488.7
design__instance__utilization,0.541586
design__instance__utilization__stdcell,0.190166
design__instance__count__class:macro,2
design__instance__count__class:buffer,2
design__instance__count__class:inverter,23
design__instance__count__class:sequential_cell,42
design__instance__count__class:multi_input_combinational_cell,560
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,2569
design__instance__count__class:tap_cell,463
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,81626.3
design__violations,0
design__instance__count__class:timing_repair_buffer,107
design__instance__count__class:clock_buffer,5
design__instance__count__class:clock_inverter,3
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,17
antenna__violating__nets,31
antenna__violating__pins,40
route__antenna_violation__count,31
antenna_diodes_count,107
design__instance__count__class:antenna_cell,107
route__net,886
route__net__special,2
route__drc_errors__iter:1,1269
route__wirelength__iter:1,105220
route__drc_errors__iter:2,440
route__wirelength__iter:2,103351
route__drc_errors__iter:3,307
route__wirelength__iter:3,102309
route__drc_errors__iter:4,32
route__wirelength__iter:4,102318
route__drc_errors__iter:5,4
route__wirelength__iter:5,102308
route__drc_errors__iter:6,4
route__wirelength__iter:6,102314
route__drc_errors__iter:7,3
route__wirelength__iter:7,102360
route__drc_errors__iter:8,2
route__wirelength__iter:8,102385
route__drc_errors__iter:9,2
route__wirelength__iter:9,102395
route__drc_errors__iter:10,2
route__wirelength__iter:10,102383
route__drc_errors__iter:11,2
route__wirelength__iter:11,102328
route__drc_errors__iter:12,2
route__wirelength__iter:12,102330
route__drc_errors__iter:13,2
route__wirelength__iter:13,102332
route__drc_errors__iter:14,2
route__wirelength__iter:14,102339
route__drc_errors__iter:15,2
route__wirelength__iter:15,102343
route__drc_errors__iter:16,2
route__wirelength__iter:16,102334
route__drc_errors__iter:17,0
route__wirelength__iter:17,102334
route__drc_errors,0
route__wirelength,102334
route__vias,9128
route__vias__singlecut,9128
route__vias__multicut,0
design__disconnected_pin__count,3
design__critical_disconnected_pin__count,0
route__wirelength__max,590.655
timing__unannotated_net__count__corner:nom_tt_025C_1v80,20
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,20
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,20
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
