Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3
design__inferred_latch__count,0
design__instance__count,2145
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,32
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,15
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0006732741021551192
power__switching__total,0.00024197838502004743
power__leakage__total,1.924370174322121E-8
power__total,0.000915271753910929
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.28228178926656333
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2909720047264416
timing__hold__ws__corner:nom_tt_025C_1v80,0.33418496693589206
timing__setup__ws__corner:nom_tt_025C_1v80,10.839716098201006
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.334185
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.845726
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,189
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,15
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3004805100897626
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.31284228870706643
timing__hold__ws__corner:nom_ss_100C_1v60,0.9055884076725739
timing__setup__ws__corner:nom_ss_100C_1v60,6.040161430873238
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.905588
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.034742
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,15
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2738160886641896
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2803097833188764
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11362056062045482
timing__setup__ws__corner:nom_ff_n40C_1v95,12.595337573867303
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.113621
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.588295
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,203
design__max_fanout_violation__count,15
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.27086625375990914
clock__skew__worst_setup,0.2766315310675383
timing__hold__ws,0.11320661395401611
timing__setup__ws,5.735534876047481
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.113207
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,6.904512
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1437
design__instance__area__stdcell,14502.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.879305
design__instance__utilization__stdcell,0.879305
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,27
design__instance__area__class:inverter,101.347
design__instance__count__class:sequential_cell,205
design__instance__area__class:sequential_cell,4360.43
design__instance__count__class:multi_input_combinational_cell,685
design__instance__area__class:multi_input_combinational_cell,6794.02
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,708
design__instance__area__class:fill_cell,1990.66
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,9647.04
design__instance__displacement__mean,6.414
design__instance__displacement__max,107.9
route__wirelength__estimated,36099.9
design__violations,0
design__instance__count__class:timing_repair_buffer,250
design__instance__area__class:timing_repair_buffer,2497.4
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,30
design__instance__area__class:clock_buffer,415.398
design__instance__count__class:clock_inverter,2
design__instance__area__class:clock_inverter,15.0144
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,195
global_route__vias,69
global_route__wirelength,63355
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,4
design__instance__count__class:antenna_cell,11
design__instance__area__class:antenna_cell,27.5264
route__net,1209
route__net__special,2
route__drc_errors__iter:0,197
route__wirelength__iter:0,42234
route__drc_errors__iter:1,66
route__wirelength__iter:1,42173
route__drc_errors__iter:2,23
route__wirelength__iter:2,42159
route__drc_errors__iter:3,0
route__wirelength__iter:3,42173
route__drc_errors__iter:4,37
route__wirelength__iter:4,42214
route__drc_errors__iter:5,23
route__wirelength__iter:5,42208
route__drc_errors__iter:6,23
route__wirelength__iter:6,42208
route__drc_errors__iter:7,0
route__wirelength__iter:7,42218
route__drc_errors,0
route__wirelength,42173
route__vias,9942
route__vias__singlecut,9942
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,299.89
timing__unannotated_net__count__corner:nom_tt_025C_1v80,41
