Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2141
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,63
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00002620675331854727
power__switching__total,0.000008877964319253806
power__leakage__total,1.670795768404787E-8
power__total,0.00003510142778395675
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26226957459250094
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2624126823444225
timing__hold__ws__corner:nom_tt_025C_1v80,0.1992619459168161
timing__setup__ws__corner:nom_tt_025C_1v80,397.09128131842095
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.199262
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,656.150452
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,527
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27020117463819776
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2703410627432568
timing__hold__ws__corner:nom_ss_100C_1v60,0.6804139666504537
timing__setup__ws__corner:nom_ss_100C_1v60,394.8771448260442
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.680414
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,646.037170
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2588830612047097
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2590279730690973
timing__hold__ws__corner:nom_ff_n40C_1v95,0.028926362124340764
timing__setup__ws__corner:nom_ff_n40C_1v95,397.9884410236745
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.028926
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,659.975708
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,597
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2580363218354563
clock__skew__worst_setup,0.2581497033650528
timing__hold__ws,0.02756711603685008
timing__setup__ws,394.7577736430604
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.027567
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,645.755981
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1440
design__instance__area__stdcell,14642.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.887802
design__instance__utilization__stdcell,0.887802
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,17
design__instance__area__class:buffer,85.0816
design__instance__count__class:inverter,28
design__instance__area__class:inverter,105.101
design__instance__count__class:sequential_cell,159
design__instance__area__class:sequential_cell,3942.53
design__instance__count__class:multi_input_combinational_cell,841
design__instance__area__class:multi_input_combinational_cell,8068.99
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,701
design__instance__area__class:fill_cell,1850.52
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,325.383
design__instance__displacement__mean,0.214
design__instance__displacement__max,43.64
route__wirelength__estimated,38038.3
design__violations,0
design__instance__count__class:timing_repair_buffer,107
design__instance__area__class:timing_repair_buffer,1023.48
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,60
design__instance__area__class:clock_buffer,1128.58
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,2
global_route__vias,14
global_route__wirelength,67937
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,3
design__instance__area__class:antenna_cell,7.5072
route__net,1220
route__net__special,2
route__drc_errors__iter:0,24
route__wirelength__iter:0,45433
route__drc_errors__iter:1,5
route__wirelength__iter:1,45436
route__drc_errors__iter:2,10
route__wirelength__iter:2,45434
route__drc_errors__iter:3,10
route__wirelength__iter:3,45434
route__drc_errors__iter:4,0
route__wirelength__iter:4,45429
route__drc_errors__iter:5,15
route__wirelength__iter:5,45455
route__drc_errors__iter:6,4
route__wirelength__iter:6,45443
route__drc_errors__iter:7,4
route__wirelength__iter:7,45443
route__drc_errors__iter:8,0
route__wirelength__iter:8,45440
route__drc_errors,0
route__wirelength,45429
route__vias,10872
route__vias__singlecut,10872
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,308.55
timing__unannotated_net__count__corner:nom_tt_025C_1v80,32
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
